Gene,ABT199,Quizartinib,JQ1,Vorinostat,Selinexor,Cytarabine,Mitoxantrone,Decitabine,Azacitidine
BRD7,0.616924925,-0.108270465,0.324561609,-0.102441114,-0.519918015,-0.325709462,-0.112484021,0.325230802,0.459265082
BRD8,0.553370808,0.161058239,-0.615746942,0.700740389,-0.418371264,0.426152148,0.157624791,1.259429697,0.139679823
BRD9,0.218451799,-0.186737161,-0.53901772,-0.00639771,-0.04974964,-0.083422051,0.020759471,-0.002840717,-0.261305537
BRDT,-0.11900526,0.154098973,0.137180707,-0.3431259,0.160754508,-0.51839192,-0.20219071,0.60948897,0.153452135
BRINP3,0.090937618,0.034858486,-0.439924048,-0.083303615,-0.228520619,-0.153578452,0.089114494,-0.139997639,-0.113429156
BRIP1,-0.192597529,-0.005423637,-0.681343126,-0.400742747,0.242882744,-0.491676709,-0.157796493,-0.119198272,-0.238342888
BRPF1,0.355730592,0.073353841,0.101843249,0.236990442,-0.18559722,0.248599144,0.300478421,-0.244401052,0.522653938
BRPF3,0.478094524,0.107689929,-0.339528044,0.732076307,0.117982587,0.369216493,-0.231695212,-0.111497621,-0.082855628
BRSK1,-0.379434604,-0.11708283,-0.183653536,0.222071096,0.367857544,0.237328949,0.293662651,0.047150095,0.202490154
BRSK2,-0.154684016,-0.293775729,-0.891687349,0.157698716,0.576638002,-0.175794188,-0.357638739,-0.488720065,-0.467934736
BRWD1,0.467408005,0.06785592,-0.777305469,0.220256483,0.633341845,0.121090154,-0.052954796,-0.153864781,-0.074393375
BRWD3,0.061379145,0.122822041,-0.178878947,0.046285443,0.024862214,-0.007923788,0.179861749,0.159242065,0.069102835
BTAF1,0.36544576,0.158611526,-0.621205306,0.181252091,-0.579789808,0.098088974,0.013480954,-0.113423108,-0.212192362
BTG2,0.242356307,-0.123930732,-0.560082753,0.327700871,0.129570785,0.226977481,-0.056467188,-0.327311894,-0.535577891
BTK,0.015286094,0.045383765,-0.16814128,0.058757158,-0.102587607,0.106202644,-0.070789562,-0.410487126,-0.126761736
BUB1,-0.346179208,0.132096533,0.395410294,-0.090621363,-0.03653889,0.098640516,-0.036030629,0.161332308,0.370895867
BUB1B,-0.170467725,0.092141461,0.376278683,-0.044863588,-0.216789958,0.212766256,-0.369117323,-0.786368707,-0.163289138
C11orf30,-0.202291279,0.029585933,-0.805751015,0.227216616,-0.001653373,0.284237878,-0.133178326,0.392835841,0.413497559
C12orf66,-0.345241907,0.073801742,-0.129822891,0.131209398,0.34129595,0.033789085,0.076707686,0.044983899,-0.04893669
C17orf70,-0.26157485,-0.003432006,-0.651371174,-0.558018804,0.27193188,0.297398127,-0.788752837,-0.864917934,-0.677304082
